                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4278,                  2.938,                 1.6483,                0.04231,                0.46734,                0.03957,                0.01564,                  2.242,                    inf,                 3.2016,             0.00035725,             0.00035725,             0.00035725
                      2,                 1.7443,                 2.9433,                 1.9532,                 0.0002,                0.01716,                0.00011,                  3e-05,                    nan,                    nan,                    nan,             0.00072699,             0.00072699,             0.00072699
                      3,                 1.8215,                 2.8526,                 1.9943,                  4e-05,                 0.0049,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010949,              0.0010949,              0.0010949
                      4,                   1.86,                 2.7936,                 1.9788,                  2e-05,                0.00245,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0014184,              0.0014184,              0.0014184
                      5,                 1.8716,                 2.7762,                 2.0041,                0.00123,                0.17546,                0.00078,                0.00026,                    nan,                    nan,                    nan,              0.0014149,              0.0014149,              0.0014149
                      6,                 1.8303,                 2.6814,                 1.9845,                0.01092,                 0.1837,                0.00507,                0.00156,                 3.0743,                 38.044,                 5.1098,              0.0014113,              0.0014113,              0.0014113
                      7,                 1.7904,                 2.6493,                 1.9598,                0.00851,                0.45851,                 0.0072,                0.00264,                 2.3768,                    inf,                 6.4191,              0.0014078,              0.0014078,              0.0014078
                      8,                 1.8024,                 2.6866,                 1.9985,                 0.0682,                0.18656,                 0.0479,                0.01469,                 2.4648,                 4.4535,                 2.9131,              0.0014042,              0.0014042,              0.0014042
                      9,                 1.7428,                 2.5166,                  1.889,                0.07847,                0.16392,                0.04171,                0.01674,                 2.8685,                 4.7913,                 3.1702,              0.0014007,              0.0014007,              0.0014007
                     10,                 1.7412,                 2.5396,                 1.8615,                0.11829,                 0.2929,                0.09309,                0.03837,                   2.14,                 3.4278,                 2.4344,              0.0013972,              0.0013972,              0.0013972
                     11,                 1.6823,                 2.4694,                 1.8213,                0.09882,                0.01356,                0.00911,                0.00575,                 3.4883,                    inf,                 4.4561,              0.0013936,              0.0013936,              0.0013936
                     12,                 1.6937,                 2.4559,                 1.8206,                0.12381,                0.28418,                0.11562,                0.03919,                 2.0857,                 3.0495,                 2.3398,              0.0013901,              0.0013901,              0.0013901
                     13,                 1.6461,                  2.383,                  1.855,                0.15378,                0.31702,                0.15603,                0.07117,                  1.797,                 2.9501,                 2.1733,              0.0013866,              0.0013866,              0.0013866
                     14,                  1.591,                 2.3544,                 1.8096,                0.15798,                0.31007,                0.15146,                0.05902,                 1.9216,                 3.2394,                 2.3424,               0.001383,               0.001383,               0.001383
                     15,                  1.625,                 2.3099,                 1.8013,                0.10559,                0.20599,                0.06969,                0.02534,                 2.1208,                 3.2083,                 2.3731,              0.0013795,              0.0013795,              0.0013795
                     16,                 1.6191,                 2.3011,                 1.7715,                0.38302,                 0.2645,                0.14736,                0.05488,                 1.9923,                 3.2109,                 2.2395,              0.0013759,              0.0013759,              0.0013759
